NutriLink API - resultado dos testes (2026-09-23 01:47:55)
Base: http://localhost:9000
Passaram: 84 / 84

[OK   ] Confirmar sem protocolo | PATCH  /api/v2/sincronizacoes/668905be-2efe-425f-9341-acf9c70c4c2d/confirmar | esperado 400, recebido 400
[OK   ] Confirmar com protocolo | PATCH  /api/v2/sincronizacoes/668905be-2efe-425f-9341-acf9c70c4c2d/confirmar | esperado 200, recebido 200
[OK   ] Buscar sincronizacao por ID | GET    /api/v2/sincronizacoes/668905be-2efe-425f-9341-acf9c70c4c2d | esperado 200, recebido 200
[OK   ] Buscar sincronizacao da coleta | GET    /api/v2/sincronizacoes/coleta/af6d5aa8-1726-44f5-b6f6-5f1bd9baebf7 | esperado 200, recebido 200
[OK   ] Listar sincronizacoes | GET    /api/v2/sincronizacoes | esperado 200, recebido 200
[OK   ] Listar sincronizacoes por status | GET    /api/v2/sincronizacoes/status/SUCESSO | esperado 200, recebido 200
[OK   ] Abrir ticket | POST   /api/v2/tickets-suporte | esperado 201, recebido 201
[OK   ] Ticket sem assunto | POST   /api/v2/tickets-suporte | esperado 400, recebido 400
[OK   ] Analista tentando assumir ticket | PATCH  /api/v2/tickets-suporte/b755905d-6f30-4bcd-b04d-c0b1d27ccf16/assumir/49528f34-a607-4970-b827-115636ed2b62 | esperado 400, recebido 400
[OK   ] Especialista assume ticket | PATCH  /api/v2/tickets-suporte/b755905d-6f30-4bcd-b04d-c0b1d27ccf16/assumir/ecb9bfce-4682-4e54-831e-8d7f27b9cc8f | esperado 200, recebido 200
[OK   ] Mensagem da doadora | POST   /api/v2/mensagens-suporte | esperado 201, recebido 201
[OK   ] Mensagem do especialista | POST   /api/v2/mensagens-suporte | esperado 201, recebido 201
[OK   ] Mensagem com remetente inexistente | POST   /api/v2/mensagens-suporte | esperado 404, recebido 404
[OK   ] Buscar mensagem por ID | GET    /api/v2/mensagens-suporte/d79ccded-0ff5-47ab-b495-ac18f8ff1fa2 | esperado 200, recebido 200
[OK   ] Listar mensagens | GET    /api/v2/mensagens-suporte | esperado 200, recebido 200
[OK   ] Listar mensagens do ticket | GET    /api/v2/mensagens-suporte/ticket/b755905d-6f30-4bcd-b04d-c0b1d27ccf16 | esperado 200, recebido 200
[OK   ] Buscar ticket por ID | GET    /api/v2/tickets-suporte/b755905d-6f30-4bcd-b04d-c0b1d27ccf16 | esperado 200, recebido 200
[OK   ] Listar tickets | GET    /api/v2/tickets-suporte | esperado 200, recebido 200
[OK   ] Listar tickets da doadora | GET    /api/v2/tickets-suporte/doadora/a7ccf260-1650-4600-b7cc-f77a05ada410 | esperado 200, recebido 200
[OK   ] Listar tickets por status | GET    /api/v2/tickets-suporte/status/EM_ANDAMENTO | esperado 200, recebido 200
[OK   ] Fechar ticket | PATCH  /api/v2/tickets-suporte/b755905d-6f30-4bcd-b04d-c0b1d27ccf16/fechar | esperado 200, recebido 200
[OK   ] Mensagem em ticket fechado e bloqueada | POST   /api/v2/mensagens-suporte | esperado 409, recebido 409
[OK   ] Excluir doadora com triagem/coleta vinculadas | DELETE /api/v2/doadoras/a7ccf260-1650-4600-b7cc-f77a05ada410 | esperado 409, recebido 409
[OK   ] Cadastrar doadora avulsa para exclusao | POST   /api/v2/doadoras | esperado 201, recebido 201
[OK   ] Excluir doadora sem vinculos | DELETE /api/v2/doadoras/105458c7-0e66-49f9-915c-be5a3ddacb46 | esperado 204, recebido 204
[OK   ] Doadora excluida nao e mais encontrada | GET    /api/v2/doadoras/105458c7-0e66-49f9-915c-be5a3ddacb46 | esperado 404, recebido 404
[OK   ] Excluir mensagem | DELETE /api/v2/mensagens-suporte/d79ccded-0ff5-47ab-b495-ac18f8ff1fa2 | esperado 204, recebido 204
[OK   ] Excluir registro inexistente | DELETE /api/v2/logistica/00000000-0000-0000-0000-000000000000 | esperado 404, recebido 404
